datetime,price_usd,hashrate
2010-03-23,0.0,4.65217732310883e-05
2010-03-24,0.0,3.9486773376631e-05
2010-03-25,0.0,4.22099991267435e-05
2010-03-26,0.0,4.42524184393279e-05
2010-03-27,0.0,3.9486773376631e-05
2010-03-28,0.0,4.40254829601518e-05
2010-03-29,0.0,4.35716120017998e-05
2010-03-30,0.0,4.78833861061445e-05
2010-03-31,0.0,4.69756441894404e-05
2010-04-01,0.0,5.71745218883927e-05
2010-04-02,0.0,4.47715832776832e-05
2010-04-03,0.0,5.02167758384825e-05
2010-04-04,0.0,5.02167758384825e-05
2010-04-05,0.0,5.02167758384825e-05
2010-04-06,0.0,4.38640511842166e-05
2010-04-07,0.0,5.83845646796815e-05
2010-04-08,0.0,5.89895860753258e-05
2010-04-09,0.0,5.35443935145265e-05
2010-04-10,0.0,7.26025674773241e-05
2010-04-11,0.0,7.23000567795019e-05
2010-04-12,0.0,8.43531550865232e-05
2010-04-13,0.0,6.41394958031167e-05
2010-04-14,0.0,7.77448433977172e-05
2010-04-15,0.0,8.00771886996488e-05
2010-04-16,0.0,7.85222918316944e-05
2010-04-17,0.0,8.16320855676031e-05
2010-04-18,0.0,0.0001030119175019
2010-04-19,0.0,8.43531550865232e-05
2010-04-20,0.0,7.96884644826601e-05
2010-04-21,0.0,8.59080519544775e-05
2010-04-22,0.0,0.0001008712786766
2010-04-23,0.0,8.54841344716997e-05
2010-04-24,0.0,8.37744517822657e-05
2010-04-25,0.0,9.6312124838115e-05
2010-04-26,0.0,9.68820190679263e-05
2010-04-27,0.0,9.68820190679263e-05
2010-04-28,0.0,9.9731490216983e-05
2010-04-29,0.0,9.06131825400017e-05
2010-04-30,0.0,8.71938171611337e-05
2010-05-01,0.0,9.2892759459247e-05
2010-05-02,0.0,9.68820190679263e-05
2010-05-03,0.0,9.11830767698131e-05
2010-05-04,0.0,8.30357266438458e-05
2010-05-05,0.0,9.32555083846268e-05
2010-05-06,0.0,9.64491901786208e-05
2010-05-07,0.0,8.36744630026446e-05
2010-05-08,0.0,9.45329811022244e-05
2010-05-09,0.0,9.07005629494315e-05
2010-05-10,0.0,8.75068811554374e-05
2010-05-11,0.0,7.34546812618635e-05
2010-05-12,0.0,7.72870994146564e-05
2010-05-13,0.0,8.30357266438458e-05
2010-05-14,0.0,7.66483630558576e-05
2010-05-15,0.0,6.77060540326742e-05
2010-05-16,0.0,6.13186904446861e-05
2010-05-17,0.0,9.19780356670291e-05
2010-05-18,0.0,0.0001073077082782
2010-05-19,0.0,0.0001034752901254
2010-05-20,0.0,0.0001077648927611
2010-05-21,0.0,0.0001089426511519
2010-05-22,0.0,0.0001130648055198
2010-05-23,0.0,0.0001266090270144
2010-05-24,0.0,0.000111887047129
2010-05-25,0.0,0.0001266090270144
2010-05-26,0.0,0.0001248423894281
2010-05-27,0.0,0.0001148314431061
2010-05-28,0.0,0.000128964543796
2010-05-29,0.0,0.0001627493604929
2010-05-30,0.0,0.0001247469717483
2010-05-31,0.0,0.0001255731106341
2010-06-01,0.0,0.0001098764718048
2010-06-02,0.0,0.0001098764718048
2010-06-03,0.0,0.0001297038050628
2010-06-04,0.0,0.0001098764718048
2010-06-05,0.0,0.0001148333051193
2010-06-06,0.0,0.0001247469717483
2010-06-07,0.0,0.0001288776661771
2010-06-08,0.0,0.0001305299439486
2010-06-09,0.0,0.0001338344994916
2010-06-10,0.0,0.0001379651939203
2010-06-11,0.0,0.0001387913328061
2010-06-12,0.0,0.000118373269418
2010-06-13,0.0,0.0001391101925277
2010-06-14,0.0,0.0001313338463616
2010-06-15,0.0,0.0001693515387294
2010-06-16,0.0,0.000127013654047
2010-06-17,0.0,0.0001235575001954
2010-06-18,0.0,0.0001278776925099
2010-06-19,0.0,0.000136518077139
2010-06-20,0.0,0.0001494786540826
2010-06-21,0.0,0.0001399742309906
2010-06-22,0.0,0.000136518077139
2010-06-23,0.0,0.0001477505771568
2010-06-24,0.0,0.0001755604136817
2010-06-25,0.0,0.0001466218839539
2010-06-26,0.0,0.0001572326781874
2010-06-27,0.0,0.0001533742075571
2010-06-28,0.0,0.0001572326781874
2010-06-29,0.0,0.0001553034428723
2010-06-30,0.0,0.0001774896489969
2010-07-01,0.0,0.0002006404727791
2010-07-02,0.0,0.0001688080900785
2010-07-03,0.0,0.0001929235315183
2010-07-04,0.0,0.000179418884312
2010-07-05,0.0,0.0001697727077361
2010-07-06,0.0,0.0001962666439752
2010-07-07,0.0,0.0001799110903106
2010-07-08,0.0,0.0001845841056433
2010-07-09,0.0,0.0002207999744721
2010-07-10,0.0,0.0002278094974712
2010-07-11,0.0,0.0002067809284738
2010-07-12,0.0,0.0005993142164243
2010-07-13,0.0,0.001678569250655
2010-07-14,0.0,0.0012950252014462
2010-07-15,0.0,0.0014078322747429
2010-07-16,0.0,0.0053966903865146
2010-07-17,0.0,0.0016514955530638
2010-07-18,0.0,0.0016153972896088
2010-07-19,0.0,0.0014800288016528
2010-07-20,0.0,0.0016063727237451
2010-07-21,0.0,0.0018229623044748
2010-07-22,0.0,0.0016875938165187
2010-07-23,0.0,0.0017507657775649
2010-07-24,0.0,0.0016695446847913
2010-07-25,0.0,0.0019312570948396
2010-07-26,0.0,0.0023463871245715
2010-07-27,0.0,0.0021244834042325
2010-07-28,0.0,0.0019666646370609
2010-07-29,0.0,0.0021244834042325
2010-07-30,0.0,0.0022094627404018
2010-07-31,0.0,0.0022944420765711
2010-08-01,0.0,0.0026829190419164
2010-08-02,0.0,0.0030835359124288
2010-08-03,0.0,0.0027678983780857
2010-08-04,0.0,0.0027678983780857
2010-08-05,0.0,0.0029621368607584
2010-08-06,0.0,0.0028184706135946
2010-08-07,0.0,0.0024858560691331
2010-08-08,0.0,0.0033611575019264
2010-08-09,0.0,0.0033086394159588
2010-08-10,0.0,0.0036237479317645
2010-08-11,0.0,0.0037988082183231
2010-08-12,0.0,0.003816314246979
2010-08-13,0.0,0.0037988082183231
2010-08-14,0.0,0.0045690734791813
2010-08-15,0.0,0.0069961101037311
2010-08-16,0.0,0.0029510864437557
2010-08-17,0.0,0.0033326924494137
2010-08-18,0.07,0.0033835732501681
2010-08-19,0.07,0.0035616560528086
2010-08-20,0.07,0.0042485468629931
2010-08-21,0.07,0.0046810336694055
2010-08-22,0.07,0.0050626396750636
2010-08-23,0.07,0.0055205668818533
2010-08-24,0.07,0.0052152820773268
2010-08-25,0.07,0.0057749708856253
2010-08-26,0.07,0.0052916032784584
2010-08-27,0.07,0.0055159946268449
2010-08-28,0.07,0.0055469833607036
2010-08-29,0.06,0.0048962199496713
2010-08-30,0.07,0.0046173213449432
2010-08-31,0.07,0.0054230284252689
2010-09-01,0.06,0.0054540171591275
2010-09-02,0.06,0.0046792988126606
2010-09-03,0.06,0.0049581974173887
